College Code,College Name,Branch Code,Branch Name,OC,BC,BCM,MBC,SC,SCA,ST
5,"Annamalai University, Faculty of Engineering and Technology, Annamalai Nagar, Cuddalore",CE,"CIVIL ENGINEERING",142.5,,,,,,
5,"Annamalai University, Faculty of Engineering and Technology, Annamalai Nagar, Cuddalore",CF,"COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE)",149,,,,,,
5,"Annamalai University, Faculty of Engineering and Technology, Annamalai Nagar, Cuddalore",CH,"CHEMICAL ENGINEERING",127.5,125,,,,,
5,"Annamalai University, Faculty of Engineering and Technology, Annamalai Nagar, Cuddalore",CS,"COMPUTER SCIENCE AND ENGINEERING",148,,,,,,
5,"Annamalai University, Faculty of Engineering and Technology, Annamalai Nagar, Cuddalore",EE,"ELECTRICAL AND ELECTRONICS ENGINEERING",155.5,130,,,,,
5,"Annamalai University, Faculty of Engineering and Technology, Annamalai Nagar, Cuddalore",EI,"ELECTRONICS AND INSTRUMENTATION ENGINEERING",162,,,,,,
5,"Annamalai University, Faculty of Engineering and Technology, Annamalai Nagar, Cuddalore",IT,"INFORMATION TECHNOLOGY",150,,,,,,
5,"Annamalai University, Faculty of Engineering and Technology, Annamalai Nagar, Cuddalore",ME,"MECHANICAL ENGINEERING",147,138,,,,,,
1013,"University College of Engineering, Villupuram, Kakuppam, Villupuram District 605103",CS,"COMPUTER SCIENCE AND ENGINEERING",140.5,,,,,,
1013,"University College of Engineering, Villupuram, Kakuppam, Villupuram District 605103",EC,"ELECTRONICS AND COMMUNICATION ENGINEERING",130.5,,,,,,
1014,"University College of Engineering, Tindivanam, Melpakkam, Tindivanam, Villupuram District 604001",IT,"INFORMATION TECHNOLOGY",174,130,,,,,
1026,"University College of Engineering, Kancheepuram, Ponnerikarai Campus, NH4, Chennai-Bangalore Highway, Karaipettai Village & Post, Kancheepuram District 631552",EC,"ELECTRONICS AND COMMUNICATION ENGINEERING",132.5,,,,,,
1113,"R.M.K. Engineering College (Autonomous), R.S.M. Nagar, Kavaraipettai, Gummidipoondi Taluk, Thiruvallur-601206",AD,"ARTIFICIAL INTELLIGENCE AND DATA SCIENCE",161,,,,,,
1114,"S.A. Engineering College (Autonomous), Poonamallee-Avadi Road, Thiruverkadu Post, Tiruvallur, Chennai-600077",EC,"ELECTRONICS AND COMMUNICATION ENGINEERING",108,,,,,,
1114,"S.A. Engineering College (Autonomous), Poonamallee-Avadi Road, Thiruverkadu Post, Tiruvallur, Chennai-600077",ME,"MECHANICAL ENGINEERING",129,,,,,,
1115,"SriRam Engineering College, Perumalpattu, Veppampattu R.S., Tiruvallur District, Chennai-602024",CS,"COMPUTER SCIENCE AND ENGINEERING",118.5,,,,,,
1122,"Vel Tech High Tech Dr.Rangarajan Dr.Sakunthala Engineering College (Autonomous), No. 60, Veltech Road, Avadi, Morai, Thiruvallur-600062",AD,"ARTIFICIAL INTELLIGENCE AND DATA SCIENCE",132,,,,,,
1137,"Annai Mira College of Engineering and Technology, Arappakkam Village, Arcot Road, Walaja Taluk, Vellore District-632517",CS,"COMPUTER SCIENCE AND ENGINEERING",119,,,,,,
1202,"DMI College of Engineering (Autonomous), St.Joseph's Town, Mevalurkuppam B Village, Nazarethpet Post, Palanchur, Kanchipuram, Chennai-600123",CS,"COMPUTER SCIENCE AND ENGINEERING",103,,,,,,
1210,"Panimalar Engineering College (Autonomous), Bangalore Trunk Road, NazarathPet, Varadharajapuram, Poonamallee, Thiruvallur (DT), Chennai-600123",CS,"COMPUTER SCIENCE AND ENGINEERING",116.5,,,,,,
