college_name,branch_name,tnea_code,category,cutoff_2024,nirf_rank_2024
"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600044",RUBBER AND PLASTIC TECHNOLOGY,4,OC,162,999
"Annamalai University, Faculty of Engineering and Technology, Annamalai Nagar, Cuddalore",COMPUTER SCIENCE AND ENGINEERING (AI AND MACHINE LEARNING),5,OC,150.5,999
"Annamalai University, Faculty of Engineering and Technology, Annamalai Nagar, Cuddalore",CIVIL ENGINEERING,5,OC,142.5,999
"Annamalai University, Faculty of Engineering and Technology, Annamalai Nagar, Cuddalore",COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),5,OC,149,999
"Annamalai University, Faculty of Engineering and Technology, Annamalai Nagar, Cuddalore",CHEMICAL ENGINEERING,5,OC,127.5,999
"Annamalai University, Faculty of Engineering and Technology, Annamalai Nagar, Cuddalore",CHEMICAL ENGINEERING,5,BC,125,999
"Annamalai University, Faculty of Engineering and Technology, Annamalai Nagar, Cuddalore",COMPUTER SCIENCE AND ENGINEERING,5,OC,148,999
"Annamalai University, Faculty of Engineering and Technology, Annamalai Nagar, Cuddalore",ELECTRICAL AND ELECTRONICS ENGINEERING,5,OC,155.5,999
"Annamalai University, Faculty of Engineering and Technology, Annamalai Nagar, Cuddalore",ELECTRICAL AND ELECTRONICS ENGINEERING,5,BC,130,999
"Annamalai University, Faculty of Engineering and Technology, Annamalai Nagar, Cuddalore",ELECTRONICS AND INSTRUMENTATION ENGINEERING,5,OC,162,999
"Annamalai University, Faculty of Engineering and Technology, Annamalai Nagar, Cuddalore",INFORMATION TECHNOLOGY,5,OC,150,999
"Annamalai University, Faculty of Engineering and Technology, Annamalai Nagar, Cuddalore",MECHANICAL ENGINEERING,5,OC,147,999
"Annamalai University, Faculty of Engineering and Technology, Annamalai Nagar, Cuddalore",MECHANICAL ENGINEERING,5,BC,138,999
"University College of Engineering, Villupuram, Kakuppam, Villupuram District 605103",COMPUTER SCIENCE AND ENGINEERING,1013,OC,140.5,999
"University College of Engineering, Villupuram, Kakuppam, Villupuram District 605103",ELECTRONICS AND COMMUNICATION ENGINEERING,1013,OC,130.5,999
"University College of Engineering, Tindivanam, Melpakkam, Tindivanam, Villupuram District 604001",INFORMATION TECHNOLOGY,1014,OC,174,999
"University College of Engineering, Tindivanam, Melpakkam, Tindivanam, Villupuram District 604001",INFORMATION TECHNOLOGY,1014,BC,130,999
"University College of Engineering, Kancheepuram, Ponnerikarai Campus, NH4, Chennai-Bangalore Highway, Karaipettai Village & Post, Kancheepuram District 631552",ELECTRONICS AND COMMUNICATION ENGINEERING,1026,OC,132.5,999
"R.M.K. Engineering College (Autonomous), R.S.M. Nagar, Kavaraipettai, Gummidipoondi Taluk, Thiruvallur-601206",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,1113,OC,161,999
"S.A. Engineering College (Autonomous), Poonamallee-Avadi Road, Thiruverkadu Post, Tiruvallur, Chennai-600077",ELECTRONICS AND COMMUNICATION ENGINEERING,1114,OC,108,999
"S.A. Engineering College (Autonomous), Poonamallee-Avadi Road, Thiruverkadu Post, Tiruvallur, Chennai-600077",MECHANICAL ENGINEERING,1114,OC,129,999
"SriRam Engineering College, Perumalpattu, Veppampattu R.S., Tiruvallur District, Chennai-602024",COMPUTER SCIENCE AND ENGINEERING,1115,OC,118.5,999
"Vel Tech High Tech Dr.Rangarajan Dr.Sakunthala Engineering College (Autonomous), No. 60, Veltech Road, Avadi, Morai, Thiruvallur-600062",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,1122,OC,132,999
"Annai Mira College of Engineering and Technology, Arappakkam Village, Arcot Road, Walaja Taluk, Vellore District-632517",COMPUTER SCIENCE AND ENGINEERING,1137,OC,119,999
"DMI College of Engineering (Autonomous), St.Joseph's Town, Mevalurkuppam B Village, Nazarethpet Post, Palanchur, Kanchipuram, Chennai-600123",COMPUTER SCIENCE AND ENGINEERING,1202,OC,103,999
"Panimalar Engineering College (Autonomous), Bangalore Trunk Road, NazarathPet, Varadharajapuram, Poonamallee, Thiruvallur (DT), Chennai-600123",COMPUTER SCIENCE AND ENGINEERING,1210,OC,116.5,999
"Panimalar Engineering College (Autonomous), Bangalore Trunk Road, NazarathPet, Varadharajapuram, Poonamallee, Thiruvallur (DT), Chennai-600123",INFORMATION TECHNOLOGY,1210,OC,149,999
"Rajalakshmi Engineering College (Autonomous), Rajalakshmi Nagar, Thandalam, Kanchipuram, Chennai-602105",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,1211,OC,140,999
"Rajalakshmi Engineering College (Autonomous), Rajalakshmi Nagar, Thandalam, Kanchipuram, Chennai-602105",ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,1211,OC,153,999
"Rajalakshmi Engineering College (Autonomous), Rajalakshmi Nagar, Thandalam, Kanchipuram, Chennai-602105",COMPUTER SCIENCE AND ENGINEERING,1211,OC,166.5,999
"Rajalakshmi Engineering College (Autonomous), Rajalakshmi Nagar, Thandalam, Kanchipuram, Chennai-602105",COMPUTER SCIENCE AND ENGINEERING,1211,BC,123,999
"Rajalakshmi Engineering College (Autonomous), Rajalakshmi Nagar, Thandalam, Kanchipuram, Chennai-602105",ELECTRONICS AND COMMUNICATION ENGINEERING,1211,OC,166,999
"Rajalakshmi Engineering College (Autonomous), Rajalakshmi Nagar, Thandalam, Kanchipuram, Chennai-602105",ELECTRONICS AND COMMUNICATION ENGINEERING,1211,BC,133,999
"Rajalakshmi Engineering College (Autonomous), Rajalakshmi Nagar, Thandalam, Kanchipuram, Chennai-602105",INFORMATION TECHNOLOGY,1211,OC,164,999
"Rajalakshmi Engineering College (Autonomous), Rajalakshmi Nagar, Thandalam, Kanchipuram, Chennai-602105",INFORMATION TECHNOLOGY,1211,BC,134.5,999
"Rajalakshmi Engineering College (Autonomous), Rajalakshmi Nagar, Thandalam, Kanchipuram, Chennai-602105",COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),1211,OC,143,999
"Sri Venkateswara College of Engineering (Autonomous), Post Bag No.3, Pennalur, Sriperumbudur, Kanchipuram-602105",ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,1219,OC,149,999
"Sri Venkateswara College of Engineering (Autonomous), Post Bag No.3, Pennalur, Sriperumbudur, Kanchipuram-602105",INFORMATION TECHNOLOGY,1219,OC,161,999
"P.T.Lee Chengalvaraya Naicker College of Engineering and Technology, Oovery, Veliyur Post, Kanchipuram District-631502",COMPUTER SCIENCE AND ENGINEERING,1226,OC,150.5,999
"Indira Institute of Engineering and Technology, No.1, V.G.R Nagar, V.G.R Gardens, Pandur, Thiruvallur-631203",MECHANICAL ENGINEERING,1229,OC,112.5,999
"Apollo Engineering College, Mevaloorkuppam, Valarpuram Post, Sriperumbudur Taluk, Kanchipuram District-602105",AERONAUTICAL ENGINEERING,1230,OC,139,999
"ARM College of Engineering and Technology, Sattamangalam, Maraimalainagar Post, Chengalpattu Taluk, Kanchipuram Dist-603209",ELECTRICAL AND ELECTRONICS ENGINEERING,1232,OC,156,999
"ARM College of Engineering and Technology, Sattamangalam, Maraimalainagar Post, Chengalpattu Taluk, Kanchipuram Dist-603209",COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY),1232,OC,162.5,999
"Adhi College of Engineering and Technology, No. 6, Munu Adhi Nagar, Sankarapuram, Puliambakkam Post, Near Wallajabad, Kancheepuram-631605",MECHANICAL ENGINEERING,1233,OC,121,999
"Anand Institute of Higher Technology, Kalasalingam Nagar, Old Mahabalipuram Road, Kazhipattur Village, Chengalpattu Taluk, Kancheepuram District-603103",COMPUTER SCIENCE AND ENGINEERING,1303,OC,118.5,999
"Easwari Engineering College (Autonomous), Bharathi Salai, Ramapuram, Chennai-600089",COMPUTER SCIENCE AND ENGINEERING (AI AND MACHINE LEARNING),1304,OC,138,999
"Easwari Engineering College (Autonomous), Bharathi Salai, Ramapuram, Chennai-600089",MECHANICAL ENGINEERING,1304,OC,127,999
"Sri Sivasubramaniya Nadar College of Engineering (Autonomous), Rajiv Gandhi Salai (OMR), Kalavakkam, Kanchipuram District-603110",CHEMICAL ENGINEERING,1315,OC,152,999
"Sri Sivasubramaniya Nadar College of Engineering (Autonomous), Rajiv Gandhi Salai (OMR), Kalavakkam, Kanchipuram District-603110",COMPUTER SCIENCE AND ENGINEERING,1315,OC,191.5,999
